date,discharge_m3s,Station_ID
1980-02-20,5.0,2548310
1980-02-21,5.0,2548310
1980-02-22,5.0,2548310
1980-02-23,4.0,2548310
1980-02-24,4.0,2548310
1980-02-25,4.0,2548310
1980-02-26,4.0,2548310
1980-02-27,4.0,2548310
1980-02-28,4.0,2548310
1980-02-29,5.0,2548310
1980-03-01,7.0,2548310
1980-03-02,5.0,2548310
1980-03-03,5.0,2548310
1980-03-04,5.0,2548310
1980-03-05,5.0,2548310
1980-03-06,6.0,2548310
1980-03-07,5.0,2548310
1980-03-08,5.0,2548310
1980-03-09,5.0,2548310
1980-03-10,5.0,2548310
1980-03-11,5.0,2548310
1980-03-12,5.0,2548310
1980-03-13,4.0,2548310
1980-03-14,4.0,2548310
1980-03-15,4.0,2548310
1980-03-16,4.0,2548310
1980-03-17,4.0,2548310
1980-03-18,4.0,2548310
1980-03-19,4.0,2548310
1980-03-20,4.0,2548310
1980-03-21,4.0,2548310
1980-03-22,4.0,2548310
1980-03-23,4.0,2548310
1980-03-24,4.0,2548310
1980-03-25,4.0,2548310
1980-03-26,4.0,2548310
1980-03-27,4.0,2548310
1980-03-28,4.0,2548310
1980-03-29,4.0,2548310
1980-03-30,5.0,2548310
1980-03-31,4.0,2548310
1980-04-01,4.0,2548310
1980-04-02,4.0,2548310
1980-04-03,4.0,2548310
1980-04-04,4.0,2548310
1980-04-05,3.0,2548310
1980-04-06,3.0,2548310
1980-04-07,3.0,2548310
1980-04-08,3.0,2548310
1980-04-09,3.0,2548310
1980-04-10,3.0,2548310
1980-04-11,3.0,2548310
1980-04-12,1.0,2548310
1980-04-13,1.0,2548310
1980-04-14,1.0,2548310
1980-04-15,1.0,2548310
1980-04-16,1.0,2548310
1980-04-17,1.0,2548310
1980-04-18,1.0,2548310
1980-04-19,4.0,2548310
1980-04-20,6.0,2548310
1980-04-21,3.0,2548310
1980-04-22,2.0,2548310
1980-04-23,1.0,2548310
1980-04-24,1.0,2548310
1980-04-25,1.0,2548310
1980-04-26,1.0,2548310
1980-04-27,1.0,2548310
1980-04-28,1.0,2548310
1980-04-29,1.0,2548310
1980-04-30,0.0,2548310
1980-05-01,0.0,2548310
1980-05-02,0.0,2548310
1980-05-03,5.0,2548310
1980-05-04,2.0,2548310
1980-05-05,2.0,2548310
1980-05-06,12.0,2548310
1980-05-07,1.0,2548310
1980-05-08,1.0,2548310
1980-05-09,0.0,2548310
1980-05-10,3.0,2548310
1980-05-11,5.0,2548310
1980-05-12,2.0,2548310
1980-05-13,1.0,2548310
1980-05-14,4.0,2548310
1980-05-15,1.0,2548310
1980-05-16,1.0,2548310
1980-05-17,4.0,2548310
1980-05-18,1.0,2548310
1980-05-19,1.0,2548310
1980-05-20,1.0,2548310
1980-05-21,1.0,2548310
1980-05-22,1.0,2548310
1980-05-23,1.0,2548310
1980-05-24,0.0,2548310
1980-05-25,0.0,2548310
1980-05-26,0.0,2548310
1980-05-27,4.0,2548310
1980-05-28,5.0,2548310
1980-05-29,5.0,2548310
1980-05-30,3.0,2548310
1980-05-31,9.0,2548310
1980-06-01,7.0,2548310
1980-06-02,4.0,2548310
1980-06-03,5.0,2548310
1980-06-04,5.0,2548310
1980-06-05,4.0,2548310
1980-06-06,3.0,2548310
1980-06-07,4.0,2548310
1980-06-08,6.0,2548310
1980-06-09,68.0,2548310
1980-06-10,9.0,2548310
1980-06-11,5.0,2548310
1980-06-12,13.0,2548310
1980-06-13,5.0,2548310
1980-06-14,8.0,2548310
1980-06-15,6.0,2548310
1980-06-16,6.0,2548310
1980-06-17,8.0,2548310
1980-06-18,7.0,2548310
1980-06-19,5.0,2548310
1980-06-20,15.0,2548310
1980-06-21,11.0,2548310
1980-06-22,9.0,2548310
1980-06-23,8.0,2548310
1980-06-24,7.0,2548310
1980-06-25,8.0,2548310
1980-06-26,8.0,2548310
1980-06-27,23.0,2548310
1980-06-28,12.0,2548310
1980-06-29,11.0,2548310
1980-06-30,9.0,2548310
1980-07-01,16.0,2548310
1980-07-02,43.0,2548310
1980-07-03,22.0,2548310
1980-07-04,17.0,2548310
1980-07-05,22.0,2548310
1980-07-06,19.0,2548310
1980-07-07,35.0,2548310
1980-07-08,28.0,2548310
1980-07-09,130.0,2548310
1980-07-10,83.0,2548310
1980-07-11,45.0,2548310
1980-07-12,38.0,2548310
1980-07-13,58.0,2548310
